record_index,layer,classification,sources,title,year,venue,doi,url,archive_reason,relevance_score
184,curated,openalex_only,OpenAlex,In situ multi-material μCLIP for fabricating Fe <sub>3</sub> O <sub>4</sub> /HEMA-based magnetic miniature devices with large deformation,2026,Virtual and Physical Prototyping,10.1080/17452759.2025.2611465,https://doi.org/10.1080/17452759.2025.2611465,,6
185,curated,openalex_only,OpenAlex,Implementing Inkjet Printing to Manufacture Piezopolymer Films for Sensing Applications,2026,Key engineering materials,10.4028/p-mjr4b1,https://doi.org/10.4028/p-mjr4b1,,6
186,curated,openalex_only,OpenAlex,Hybrid Injection–Volumetric Additive Manufacturing for Rapid Fabrication of Low-Viscosity Multi-Material and Composite Structures,2026,Research Square,10.21203/rs.3.rs-8791467/v1,https://doi.org/10.21203/rs.3.rs-8791467/v1,,6
187,curated,openalex_only,OpenAlex,High-fidelity finite element modelling of multi-layer 3D printing with complex toolpaths,2026,Advances in Computational Science and Engineering,10.3934/acse.2026006,https://doi.org/10.3934/acse.2026006,,6
188,curated,openalex_only,OpenAlex,Grey relational approach to investigate the physio-mechanical characteristics of 3D printed multi-material polyamide-carbon fibre and polyamide-glass fibre composite structures,2026,Journal of Thermoplastic Composite Materials,10.1177/08927057261445850,https://doi.org/10.1177/08927057261445850,,6
189,curated,both_openalex_crossref,Crossref; OpenAlex,Governing Artificial Intelligence for Energy Planning and Transition: Shared AI Governance for Energy Systems (SAGES) - A briefing note,2026,Venue unknown,10.33774/coe-2026-0gzfx,https://doi.org/10.33774/coe-2026-0gzfx,,6
190,curated,openalex_only,OpenAlex,Future of Smart and Sustainable Foods: A 4D Printing Perspective,2026,Shanlax International Journal of Arts Science and Humanities,10.34293/sijash.v13is2-i4-jan.10573,https://doi.org/10.34293/sijash.v13is2-i4-jan.10573,,6
191,curated,openalex_only,OpenAlex,Future Scope of Automation in Civil Engineering,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20661261,https://doi.org/10.5281/zenodo.20661261,,6
192,curated,openalex_only,OpenAlex,"Fused Deposition Modelling in Additive Manufacturing: A Comprehensive Review of Polymer-Based Processes, Properties, and Applications",2026,Advanced Engineering Letters,10.46793/adeletters.2026.5.1.2,https://doi.org/10.46793/adeletters.2026.5.1.2,,6
193,curated,openalex_only,OpenAlex,From High-Efficiency Devices to Reproducible Manufacturing: Self-driving Laboratories Are Reshaping Perovskite Photovoltaics,2026,ACS Energy Letters,10.1021/acsenergylett.6c01391,https://doi.org/10.1021/acsenergylett.6c01391,,6
194,curated,both_openalex_crossref,Crossref; OpenAlex,Fabrication of ceramic to metal graded structure for high temperature CSP receiver application using solid state additive manufacturing,2026,Venue unknown,10.2172/3364614,https://doi.org/10.2172/3364614,,6
195,curated,openalex_only,OpenAlex,Experimental calibration of a virtual raster section for high-accuracy FDM simulation in Abaqus,2026,Frattura ed Integrità Strutturale,10.3221/igf-esis.76.03,https://doi.org/10.3221/igf-esis.76.03,,6
196,curated,openalex_only,OpenAlex,Entanglement-driven responses through multiscale 3D-printed knits,2026,Proceedings of the National Academy of Sciences,10.1073/pnas.2535708123,https://doi.org/10.1073/pnas.2535708123,,6
197,curated,openalex_only,OpenAlex,Enhancing Bubble Removal in Geometry‐Optimized Electrodes,2026,Advanced Engineering Materials,10.1002/adem.70921,https://doi.org/10.1002/adem.70921,,6
198,curated,openalex_only,OpenAlex,Enhanced mechanical performance of 3D-printed PLA and carbon-fiber reinforced PLA sandwich structures via Taguchi-based process optimization,2026,Journal of Sandwich Structures & Materials,10.1177/10996362261460208,https://doi.org/10.1177/10996362261460208,,6
199,curated,openalex_only,OpenAlex,"Engineering Simulation Approaches for Improving Efficiency, Reliability, and Sustainability in Mechanical Systems",2026,International Journal of Scientific Research in Computer Science Engineering and Information Technology,10.32628/cseit26121340,https://doi.org/10.32628/cseit26121340,,6
200,curated,openalex_only,OpenAlex,Enabling human-centric manufacturing: A systematic review of human-machine collaboration in Industry 5.0,2026,Advanced Manufacturing Research,10.21595/amr.2026.26160,https://doi.org/10.21595/amr.2026.26160,,6
201,curated,openalex_only,OpenAlex,ESReDA Webinar - DMAD and SKILLS4EII Meeting and Research Seminar,2026,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.20640448,https://doi.org/10.5281/zenodo.20640448,,6
202,curated,openalex_only,OpenAlex,Development of novel materials and fabrication methods for surfaces with wettability patterns,2026,FreiDok plus (Universitätsbibliothek Freiburg),10.6094/unifr/283834,https://doi.org/10.6094/unifr/283834,,6
203,curated,openalex_only,OpenAlex,Development of Functionally Gradient Materials Using Ultrasonic Additive Manufacturing,2026,Additive manufacturing,10.1201/9781003544937-13,https://doi.org/10.1201/9781003544937-13,,6
204,curated,both_openalex_crossref,Crossref; OpenAlex,Design Optimization of a Variable Stiffness Robotic Gripper with Passive Restoration Fabricated by Multimaterial 3D Printing,2026,Advanced Robotics Research,10.1002/adrr.202500054,https://doi.org/10.1002/adrr.202500054,,6
205,curated,both_openalex_crossref,Crossref; OpenAlex,Deep Learning for Materials and Additive Manufacturing: Towards AI-Enabled Closed-Loop Systems,2026,ChemRxiv,10.26434/chemrxiv.15000912/v1,https://doi.org/10.26434/chemrxiv.15000912/v1,,6
206,curated,openalex_only,OpenAlex,Critical Review of Electro-Coalescence for the Separation of Water/Oil Emulsions,2026,Processes,10.3390/pr14050785,https://doi.org/10.3390/pr14050785,,6
207,curated,openalex_only,OpenAlex,Comprehensive Review of Research Progress on Trajectory Planning and Weld Seam Tracking in Wire Arc Additive Manufacturing,2026,Micromachines,10.3390/mi17060698,https://doi.org/10.3390/mi17060698,,6
208,curated,openalex_only,OpenAlex,Composite amalgam: development of joining approaches for additively manufactured fibre composites in complex geometry in architecture,2026,Architectural Intelligence,10.1007/s44223-026-00119-5,https://doi.org/10.1007/s44223-026-00119-5,,6
209,curated,openalex_only,OpenAlex,Comparative Study of Basic and Interleaved Pixel Toolpaths in Wire Arc Additive Manufacturing,2026,Research Square,10.21203/rs.3.rs-9829838/v1,https://doi.org/10.21203/rs.3.rs-9829838/v1,,6
210,curated,openalex_only,OpenAlex,Characterization of PC-ABS and PETG Multi-Material Laminates Fabricated by MEX Method,2026,Polymers,10.3390/polym18060763,https://doi.org/10.3390/polym18060763,,6
211,curated,openalex_only,OpenAlex,"Case study report on design, manufacturing and digital representation of a DED-Arc steel node for construction",2026,Scientific Reports,10.1038/s41598-026-37315-2,https://doi.org/10.1038/s41598-026-37315-2,,6
212,curated,openalex_only,OpenAlex,Bridging processing and performance in Ti–6Al–4V: WAAM parameters and wear behavior across traditional and additive manufacturing routes,2026,Frontiers in Materials,10.3389/fmats.2026.1849375,https://doi.org/10.3389/fmats.2026.1849375,,6
213,curated,openalex_only,OpenAlex,"Biopolymer-Based Electrospun Nanofibers for Wound Healing, Regeneration, and Therapeutics",2026,Materials,10.3390/ma19071443,https://doi.org/10.3390/ma19071443,,6
214,curated,openalex_only,OpenAlex,Beyond the Material: Engineering Sustainable Soft Robots and Electronics,2026,Advanced Science,10.1002/advs.74485,https://doi.org/10.1002/advs.74485,,6
215,curated,both_openalex_crossref,Crossref; OpenAlex,Beyond lattices: A geometry-first computational design framework for additive manufacturing of porous architectures,2026,Additive Manufacturing Letters,10.1016/j.addlet.2026.100396,https://doi.org/10.1016/j.addlet.2026.100396,,6
216,curated,crossref_only,Crossref,Bayesian Optimization of Grayscale Patterns for Layer‐Height Accuracy in Projection Multi‐Photon 3D Printing,2026,Laser &amp; Photonics Reviews,10.1002/lpor.71200,https://doi.org/10.1002/lpor.71200,,6
217,curated,openalex_only,OpenAlex,"Artificial intelligence in additive Manufacturing: advances in smart materials, lattice optimization, and process intelligence",2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-026-18072-y,https://doi.org/10.1007/s00170-026-18072-y,,6
218,curated,openalex_only,OpenAlex,Artificial Intelligence in the Design and Optimization of Orthodontic Materials: A Clinical Perspective on Current State and Future Directions,2026,Materials,10.3390/ma19122538,https://doi.org/10.3390/ma19122538,,6
219,curated,openalex_only,OpenAlex,Algorithm for Generating Gradient Infills in Load-bearing 3D-printed Parts,2026,Periodica Polytechnica Civil Engineering,10.3311/ppci.30373,https://doi.org/10.3311/ppci.30373,,6
220,curated,openalex_only,OpenAlex,Advancing transdermal drug delivery through 4D bioprinting and dynamic skin modelling,2026,Frontiers in Drug Delivery,10.3389/fddev.2026.1753384,https://doi.org/10.3389/fddev.2026.1753384,,6
221,curated,openalex_only,OpenAlex,Advances in Lightweight Composites and Additive Manufacturing for the Development of Service Robotic Systems,2026,Journal of Composites Science,10.3390/jcs10030158,https://doi.org/10.3390/jcs10030158,,6
222,curated,openalex_only,OpenAlex,"Advanced additive manufacturing in orthopedics: a comprehensive review of biomaterials, structural design, biological functions and clinical technology applications",2026,RSC Advances,10.1039/d5ra09513a,https://doi.org/10.1039/d5ra09513a,,6
223,curated,openalex_only,OpenAlex,"Additive Manufacturing of Polymer‐Derived SiOC Ceramics: A Review of Materials, Techniques, and Applications",2026,Advanced Engineering Materials,10.1002/adem.202501961,https://doi.org/10.1002/adem.202501961,,6
224,curated,crossref_only,Crossref,Achieving strong interfacial bonding and temperature-responsive actuation in multi-material additive manufacturing through bio-inspired interlocking structures,2026,Journal of Materials Science &amp; Technology,10.1016/j.jmst.2026.03.007,https://doi.org/10.1016/j.jmst.2026.03.007,,6
225,curated,crossref_only,Crossref,Accessible Six-DOF Clay-Printing Platform Using a 3D-Printed Robotic Arm,2026,"AI, Computer Science and Robotics Technology",10.5772/acrt20250181,https://doi.org/10.5772/acrt20250181,,6
226,curated,openalex_only,OpenAlex,APPLICATION OF MACHINE LEARINING AND COMPUTER MODELING IN METALLURGY COMPHERENSIVE REVIEW,2026,International Journal of Scientific Development and Research,10.56975/ijsdr.v11i3.307610,https://doi.org/10.56975/ijsdr.v11i3.307610,,6
227,curated,openalex_only,OpenAlex,AI-driven pilot platforms and computational pharmaceutics: accelerating innovation in small molecule drug development under industry 4.0 and 5.0 paradigms,2026,Frontiers in Pharmacology,10.3389/fphar.2026.1681040,https://doi.org/10.3389/fphar.2026.1681040,,6
228,curated,both_openalex_crossref,Crossref; OpenAlex,"AI-assisted, curvature-aware post-slicing G-code optimization for material-efficient FDM printing",2026,Journal of King Saud University - Engineering Sciences,10.1007/s44444-026-00109-y,https://doi.org/10.1007/s44444-026-00109-y,,6
229,curated,openalex_only,OpenAlex,A woven-like toolpath strategy for translaminar reinforcement in continuous fiber reinforced polymer additive manufacturing,2026,Additive manufacturing,10.1016/j.addma.2026.105233,https://doi.org/10.1016/j.addma.2026.105233,,6
230,curated,openalex_only,OpenAlex,A standardized workflow for the development and manufacturing of tissue-equivalent anthropomorphic phantoms for radiotherapy using 3D-printing,2026,Physics in Medicine and Biology,10.1088/1361-6560/ae794c,https://doi.org/10.1088/1361-6560/ae794c,,6
231,curated,openalex_only,OpenAlex,"A review of AI-driven phenomics, genomics, and predictive breeding in wheat",2026,Discover Plants.,10.1007/s44372-026-00696-9,https://doi.org/10.1007/s44372-026-00696-9,,6
232,curated,openalex_only,OpenAlex,A machine learning framework for structural and predictive analysis of intelligent data networks,2026,Scientific Reports,10.1038/s41598-026-56030-6,https://doi.org/10.1038/s41598-026-56030-6,,6
233,curated,both_openalex_crossref,Crossref; OpenAlex,A generalized printing process window for preventing surface overcuring in volumetric additive manufacturing,2026,International Journal of Bioprinting,10.36922/ijb026140128,https://doi.org/10.36922/ijb026140128,,6
234,curated,openalex_only,OpenAlex,A Verifiable Steady-State Frequency–Velocity Mapping for Desktop FDM Printers Based on an Electromechanical Coupling Framework,2026,Machines,10.3390/machines14050508,https://doi.org/10.3390/machines14050508,,6
235,curated,openalex_only,OpenAlex,"A Comprehensive Review of Smart Coordinate Measuring Machines: Architectural Innovations, Multi-Sensor Integration, and Uncertainty Evaluation for Industry 4.0",2026,International Journal of Precision Engineering and Manufacturing,10.1007/s12541-026-01465-0,https://doi.org/10.1007/s12541-026-01465-0,,6
236,curated,openalex_only,OpenAlex,5D orthodontics: integration of multidimensional imaging and predictive technologies—a scoping review,2026,Discover Artificial Intelligence,10.1007/s44163-026-01427-5,https://doi.org/10.1007/s44163-026-01427-5,,6
237,curated,openalex_only,OpenAlex,4D Printing of Multimaterial Flexible Magneto‐Active Polymers,2026,Advanced Materials Technologies,10.1002/admt.202501947,https://doi.org/10.1002/admt.202501947,,6
238,curated,openalex_only,OpenAlex,3D-printed Soft Optical sensor with a Lens (SOLen) for light guidance in mechanosensing,2026,Open MIND,10.48550/arxiv.2602.17421,https://doi.org/10.48550/arxiv.2602.17421,,6
239,curated,openalex_only,OpenAlex,3D-Printed Pyrography Using PLA/Wood Filaments,2026,"Defect and diffusion forum/Diffusion and defect data, solid state data. Part A, Defect and diffusion forum",10.4028/p-dcjc3i,https://doi.org/10.4028/p-dcjc3i,,6
240,curated,crossref_only,Crossref,3D printing of multimaterial structures and their impact on sustainability,2026,Additive Manufacturing of Smart Multifunctional Materials and Structures,10.1016/b978-0-443-33500-6.00003-0,https://doi.org/10.1016/b978-0-443-33500-6.00003-0,,6
241,curated,openalex_only,OpenAlex,"3D printing of droplet microfluidic devices: principles, wetting control, scale-up, and beyond",2026,Lab on a Chip,10.1039/d5lc01011j,https://doi.org/10.1039/d5lc01011j,,6
242,curated,openalex_only,OpenAlex,3D printing formwork for casting artificial habitats for Northern House Wren (Troglodytes aedon),2026,Architecture Structures and Construction,10.1007/s44150-026-00200-7,https://doi.org/10.1007/s44150-026-00200-7,,6
243,curated,crossref_only,Crossref,3D printed soft robotic arm with integrated tool-transfer channels enables diverse interventional functions,2026,Applied Physics Reviews,10.1063/5.0307420,https://doi.org/10.1063/5.0307420,,6
244,curated,openalex_only,OpenAlex,3D Printed Recyclable Sand Formworks: A Zero‐Waste Path for Lightweight Concrete Structures,2026,Beton- und Stahlbetonbau,10.1002/best.70164,https://doi.org/10.1002/best.70164,,6
245,curated,crossref_only,Crossref,WeChemSynOntology: Semantic Modeling of Wet Chemical Syntheses in a Self-Driving Lab for Nano-and Advanced Materials,2026,Venue unknown,10.26434/chemrxiv.10001869/v1,https://doi.org/10.26434/chemrxiv.10001869/v1,,5
246,curated,crossref_only,Crossref,Wavelength‐Dependent 3D Printing: Introducing 3D Printed Action Plots,2026,Advanced Materials,10.1002/adma.202523664,https://doi.org/10.1002/adma.202523664,,5
247,curated,both_openalex_crossref,Crossref; OpenAlex,Volumetric printing of carbon-based architectures,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3097608,https://doi.org/10.1117/12.3097608,,5
248,curated,both_openalex_crossref,Crossref; OpenAlex,Volumetric printing by reverse tomography: a new paradigm in additive manufacturing,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3109818,https://doi.org/10.1117/12.3109818,,5
249,curated,both_openalex_crossref,Crossref; OpenAlex,Volumetric fabrication without lenses: a world-first demonstration,2026,Laser 3D Manufacturing XIII,10.1117/12.3080942,https://doi.org/10.1117/12.3080942,,5
250,curated,both_openalex_crossref,Crossref; OpenAlex,Volumetric additive manufacturing of complex geometries around complex inserts,2026,Scientific Reports,10.1038/s41598-026-35258-2,https://doi.org/10.1038/s41598-026-35258-2,,5
251,curated,crossref_only,Crossref,Volumetric additive manufacturing of a laser diode collimator lens with xolography,2026,Laser 3D Manufacturing XIII,10.1117/12.3079656,https://doi.org/10.1117/12.3079656,,5
252,curated,both_openalex_crossref,Crossref; OpenAlex,Volumetric Additive Manufacturing of Gradient Composition Glass,2026,Venue unknown,10.2172/3021939,https://doi.org/10.2172/3021939,,5
253,curated,openalex_only,OpenAlex,Volumetric Additive Manufacturing of Dormant Catalytic Chemistries to Generate Silicone Micro‐ and Millifluidic Devices and Instant Molds (Adv. Sci. 7/2026),2026,Advanced Science,10.1002/advs.73664,https://doi.org/10.1002/advs.73664,,5
254,curated,openalex_only,OpenAlex,Visuo‐Tactile Sensor Enabled by Cholesteric Liquid Crystal Elastomer for Soft Robotics,2026,Advanced Functional Materials,10.1002/adfm.202524139,https://doi.org/10.1002/adfm.202524139,,5
255,curated,openalex_only,OpenAlex,Vibroacoustic metamaterials in sheet metal structures for the reduction of sound radiation,2026,Engineering Research,10.1007/s10010-026-00950-2,https://doi.org/10.1007/s10010-026-00950-2,,5
256,curated,openalex_only,OpenAlex,Vat photopolymerization of semicrystalline thermoplastics via photoinitiated ring opening metathesis polymerization,2026,ChemRxiv,10.26434/chemrxiv.15001539/v1,https://doi.org/10.26434/chemrxiv.15001539/v1,,5
257,curated,openalex_only,OpenAlex,Vat photopolymerization of bio-derived conductive composites for smart devices with Joule heating capabilities,2026,Progress in Additive Manufacturing,10.1007/s40964-026-01541-x,https://doi.org/10.1007/s40964-026-01541-x,,5
258,curated,openalex_only,OpenAlex,Vat Photopolymerized HEMA/HEA Hydrogels for Solvent‐Responsive Transparency and Optical Encryption,2026,Advanced Optical Materials,10.1002/adom.202503454,https://doi.org/10.1002/adom.202503454,,5
259,curated,openalex_only,OpenAlex,Vat Photopolymerization-Fabricated Theranostic Hydrogels for Smart Wound Management,2026,Gels,10.3390/gels12050393,https://doi.org/10.3390/gels12050393,,5
260,curated,openalex_only,OpenAlex,Urban circularity digital twin to support decision-making for sustainable mobility,2026,Discover Cities,10.1007/s44327-026-00294-0,https://doi.org/10.1007/s44327-026-00294-0,,5
261,curated,openalex_only,OpenAlex,Two‐Photon Polymerized Poly(ε‐caprolactone) Microstructures with Shape‐Memory Behavior Under Compressive Loading,2026,Advanced Materials Technologies,10.1002/admt.202502471,https://doi.org/10.1002/admt.202502471,,5
262,curated,openalex_only,OpenAlex,Towards Active Real-to-Twin Inspection: A New Paradigm for Zero-Shot Anomaly Detection,2026,arXiv (Cornell University),,https://openalex.org/W7162606127,,5
263,curated,crossref_only,Crossref,Toward self-driving laboratory 2.0 for chemistry and materials discovery,2026,Materials Horizons,10.1039/d5mh01984b,https://doi.org/10.1039/d5mh01984b,,5
264,curated,crossref_only,Crossref,Toward More Autonomous Soft Robots: Development and Characterization of a 3D‐Printed Pneumatic Contact Sensor for a Six‐Legged Soft Robotic Walker,2026,Advanced Intelligent Systems,10.1002/aisy.202500430,https://doi.org/10.1002/aisy.202500430,,5
265,curated,openalex_only,OpenAlex,Toward 4D printed functional soft tissues,2026,Acta Biomaterialia,10.1016/j.actbio.2026.02.035,https://doi.org/10.1016/j.actbio.2026.02.035,,5
266,curated,openalex_only,OpenAlex,"Too Big, Too Small, Too $O_2$: The Pandoro Effect from Oxygen Gradients in Tomographic Volumetric Additive Manufacturing",2026,arXiv (Cornell University),10.48550/arxiv.2604.06313,https://doi.org/10.48550/arxiv.2604.06313,,5
267,curated,openalex_only,OpenAlex,Tomographic Printing in a Chip: A Versatile Platform for Biomimetic 3D Organ-on-Chip,2026,bioRxiv (Cold Spring Harbor Laboratory),10.64898/2026.02.26.708161,https://doi.org/10.64898/2026.02.26.708161,,5
268,curated,openalex_only,OpenAlex,Time-Responsive Manufacturing: An Extensive Review of 4DP Applications in IoT and Mechatronic Systems,2026,Journal of Advanced Research in Manufacturing Material Science & Metallurgical Engineering,10.24321/2393.8315.202602,https://doi.org/10.24321/2393.8315.202602,,5
269,curated,openalex_only,OpenAlex,"Three-dimensionally printed elastomeric materials: Matrix innovation, functional expansion, and advances in multifield applications",2026,International Journal of Bioprinting,10.36922/ijb026160142,https://doi.org/10.36922/ijb026160142,,5
270,curated,openalex_only,OpenAlex,Three-dimensional printing of nanomaterials-based electronics with a metamaterial-inspired near-field electromagnetic structure,2026,Science Advances,10.1126/sciadv.adz7415,https://doi.org/10.1126/sciadv.adz7415,,5
271,curated,openalex_only,OpenAlex,Thiol–Yne Photocurable Isosorbide-Derived Networks: Formulation and 3D Printing,2026,ACS Sustainable Chemistry & Engineering,10.1021/acssuschemeng.5c13600,https://doi.org/10.1021/acssuschemeng.5c13600,,5
272,curated,both_openalex_crossref,Crossref; OpenAlex,Thermomechanical Modelling and Shape Prediction in 4D Printing Using FEA,2026,Key engineering materials,10.4028/p-li38bj,https://doi.org/10.4028/p-li38bj,,5
273,curated,openalex_only,OpenAlex,The data-only illusion in materials discovery,2026,Nature Materials,10.1038/s41563-026-02578-7,https://doi.org/10.1038/s41563-026-02578-7,,5
274,curated,openalex_only,OpenAlex,The Semantic Training Gap: Ontology-Grounded Tool Architectures for Industrial AI Agent Systems,2026,ArXiv.org,,https://openalex.org/W7161205046,,5
275,curated,openalex_only,OpenAlex,The Role of Digital Twin for Space and Remote Terrestrial Construction,2026,Digital twins and applications.,10.1049/dgt2.70027,https://doi.org/10.1049/dgt2.70027,,5
276,curated,openalex_only,OpenAlex,The Influence of Vat Photopolymerization Processing Parameters on Semicrystalline Morphology,2026,ACS Applied Polymer Materials,10.1021/acsapm.6c00527,https://doi.org/10.1021/acsapm.6c00527,,5
277,curated,openalex_only,OpenAlex,The 5.0 Paradigm,2026,Venue unknown,10.1002/9781394454600.ch4,https://doi.org/10.1002/9781394454600.ch4,,5
278,curated,both_openalex_crossref,Crossref; OpenAlex,Technological progress and challenges of volumetric additive manufacturing technology,2026,Virtual and Physical Prototyping,10.1080/17452759.2026.2617762,https://doi.org/10.1080/17452759.2026.2617762,,5
279,curated,openalex_only,OpenAlex,Systematic study of rapid solidification in laser powder-bed fusion of stainless steels to verify applicability of columnar-equiaxed transition,2026,ISIJ International,10.2355/isijinternational.isijint-2026-038,https://doi.org/10.2355/isijinternational.isijint-2026-038,,5
280,curated,openalex_only,OpenAlex,Systematic Analysis of Penalty-Optimised Illumination Design for Tomographic Volumetric Additive Manufacturing via the Extendable Framework TVAM AID Using the Core Imaging Library,2026,Open MIND,10.48550/arxiv.2602.12178,https://doi.org/10.48550/arxiv.2602.12178,,5
281,curated,openalex_only,OpenAlex,"Sustainable Cellulose Ionogels With Promising Physical Structure, Properties, and Applications",2026,Advanced Physics Research,10.1002/apxr.202500217,https://doi.org/10.1002/apxr.202500217,,5
282,curated,openalex_only,OpenAlex,Sustainable Additive Manufacturing of Polymer Composites for Advanced Water Treatment: A Review,2026,Sustainable polymer & energy,10.70322/spe.2026.10005,https://doi.org/10.70322/spe.2026.10005,,5
283,curated,openalex_only,OpenAlex,"Surface Acoustic Wave Devices: New Mechanisms, Enabling Techniques, and Application Frontiers",2026,Micromachines,10.3390/mi17040494,https://doi.org/10.3390/mi17040494,,5
284,curated,crossref_only,Crossref,Suppressing part warpage in large-area Vat photopolymerization (VPP) printing: A structure-process co-optimization strategy,2026,Additive Manufacturing Frontiers,10.1016/j.amf.2026.200353,https://doi.org/10.1016/j.amf.2026.200353,,5
285,curated,crossref_only,Crossref,Strategies for vat photopolymerization additive manufacturing of metals and ceramics,2026,Materials Advances,10.1039/d6ma00166a,https://doi.org/10.1039/d6ma00166a,,5
286,curated,openalex_only,OpenAlex,Statistical Average Strain Energy Density fatigue estimation of strut-based metamaterials via synthetic as-built CAD digital twins,2026,Research Square,10.21203/rs.3.rs-8740563/v1,https://doi.org/10.21203/rs.3.rs-8740563/v1,,5
287,curated,both_openalex_crossref,Crossref; OpenAlex,Spatially programmable 4D printing of photoresponsive liquid crystal elastomers for adaptive energy dissipation,2026,Additive Manufacturing Frontiers,10.1016/j.amf.2026.200359,https://doi.org/10.1016/j.amf.2026.200359,,5
288,curated,both_openalex_crossref,Crossref; OpenAlex,Spatially Tailorable Liquid Crystalline Elastomer Alignment During Digital Light Process 3D Printing,2026,Advanced Functional Materials,10.1002/adfm.202522676,https://doi.org/10.1002/adfm.202522676,,5
289,curated,crossref_only,Crossref,Soft 3D-Printed Endoskeleton for Precise Tendon Routing in Soft Robotics,2026,IEEE Robotics and Automation Letters,10.1109/lra.2025.3648604,https://doi.org/10.1109/lra.2025.3648604,,5
290,curated,crossref_only,Crossref,Single-shot volumetric additive manufacturing via computer-generated holography,2026,3D Printed Optics and Additive Photonic Manufacturing V,10.1117/12.3102077,https://doi.org/10.1117/12.3102077,,5
291,curated,openalex_only,OpenAlex,"Shrinkage-induced alignment in multiphoton 3D printed liquid crystal elastomers enables direct-write, arbitrary axis microactuators",2026,Research Square,10.21203/rs.3.rs-8971871/v1,https://doi.org/10.21203/rs.3.rs-8971871/v1,,5
292,curated,both_openalex_crossref,Crossref; OpenAlex,Shape‐memory Hydrogels,2026,Functional Hydrogels,10.1002/9783527854578.ch08,https://doi.org/10.1002/9783527854578.ch08,,5
293,curated,openalex_only,OpenAlex,Shape morphing of extrusion-printed thermoresponsive hydrogels regulated by infill topology and layer design,2026,Engineering Science in Additive Manufacturing,10.36922/esam026180008,https://doi.org/10.36922/esam026180008,,5
294,curated,openalex_only,OpenAlex,Shape Memory and Self-Healing Behavior of 4D-Printed Electroactive Polycaprolactone/Polylactic Acid/Graphene Nanocomposite: Structure-Properties Relations,2026,Journal of Composites Science,10.3390/jcs10030155,https://doi.org/10.3390/jcs10030155,,5
295,curated,openalex_only,OpenAlex,Semantic modelling of AI-integrated digital twins for enhanced transparency,2026,Journal of Intelligent Information Systems,10.1007/s10844-026-01065-4,https://doi.org/10.1007/s10844-026-01065-4,,5
296,curated,both_openalex_crossref,Crossref; OpenAlex,Self‐Driving Laboratory Optimizes the Lower Critical Solution Temperature of Thermoresponsive Polymers,2026,Advanced Intelligent Discovery,10.1002/aidi.202500177,https://doi.org/10.1002/aidi.202500177,,5
297,curated,openalex_only,OpenAlex,Scale-invariant projection optimization in tomographic volumetric additive manufacturing,2026,arXiv (Cornell University),10.48550/arxiv.2604.08997,https://doi.org/10.48550/arxiv.2604.08997,,5
298,curated,crossref_only,Crossref,SALSA: a low-cost self-driving lab modular add-on for salt solubility assessment for battery electrolytes,2026,Digital Discovery,10.1039/d5dd00516g,https://doi.org/10.1039/d5dd00516g,,5
299,curated,openalex_only,OpenAlex,Robust Control Methodologies and Applications for Robotic Systems,2026,Applied and Computational Engineering,10.54254/2755-2721/2026.gu33780,https://doi.org/10.54254/2755-2721/2026.gu33780,,5
300,curated,openalex_only,OpenAlex,"Robotics Arm based 3D Food Printing: Design, Challenges, and Feasibility for Culinary Automation",2026,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2026.77700,https://doi.org/10.22214/ijraset.2026.77700,,5
301,curated,both_openalex_crossref,Crossref; OpenAlex,Robotic conformal 4D printing of liquid crystal elastomers,2026,Science Advances,10.1126/sciadv.aeb2417,https://doi.org/10.1126/sciadv.aeb2417,,5
302,curated,openalex_only,OpenAlex,Robotic Welding Technologies for Intersecting and Irregular Pipes and Pipe Joints Toward Automated Production Line Integration: A Review,2026,Applied Sciences,10.3390/app16062974,https://doi.org/10.3390/app16062974,,5
303,curated,openalex_only,OpenAlex,Research progress on superelastic materials,2026,Gongneng cailiao yu qijian xuebao,10.3724/jfmd.2602028,https://doi.org/10.3724/jfmd.2602028,,5
304,curated,openalex_only,OpenAlex,Research on self-healing photocurable 3D-printed conductive polycaprolactone-based composites,2026,Scientific Reports,10.1038/s41598-026-35393-w,https://doi.org/10.1038/s41598-026-35393-w,,5
305,curated,openalex_only,OpenAlex,Research on Shape Memory Properties of PETG Based on 4D-Printed Negative Poisson’s Ratio Structures,2026,Polymers,10.3390/polym18091039,https://doi.org/10.3390/polym18091039,,5
306,curated,both_openalex_crossref,Crossref; OpenAlex,Reinforced scan: a reinforcement learning enabled optimal laser scan path planning in laser powder bed fusion additive manufacturing,2026,The International Journal of Advanced Manufacturing Technology,10.1007/s00170-025-17144-9,https://doi.org/10.1007/s00170-025-17144-9,,5
307,curated,openalex_only,OpenAlex,Red-Light Tomographic Volumetric 3D Printing in Seconds for Fabrication of Colorless Structures,2026,ChemRxiv,10.26434/chemrxiv.15004285/v3,https://doi.org/10.26434/chemrxiv.15004285/v3,,5
