venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,crossref_lookup_status,crossref_match_title,crossref_match_issn,crossref_match_publisher,crossref_total_dois,crossref_lookup_note,example_titles
Acta Biomaterialia,2,2,1,1,OpenAlex,exact_crossref_journal_match,Acta Biomaterialia,1742-7061,Elsevier,11078,,Toward 4D printed functional soft tissues | Digital light 4D printing of bioresorbable shape memory elastomers for personalized biomedical implantation
Advanced Composites and Hybrid Materials,2,2,1,1,OpenAlex,exact_crossref_journal_match,Advanced Composites and Hybrid Materials,2522-0128; 2522-0136,Springer-Verlag,1879,,Processing-induced magnetic softening in high-loading printable composites for additive manufacturing | Sustainable prospects of lignocellulosic wood and natural fiber-based materials in 3D and 4D printing
Advanced Engineering Informatics,2,2,1,1,OpenAlex,exact_crossref_journal_match,Advanced Engineering Informatics,1474-0346,Elsevier,4504,,Self-X-based secure human-cyber-physical system (SSHCPS) for autonomous manufacturing in the era of industry 5.0 | Digital Twin architecture for heterogeneous fabrication and construction in AEC
Advanced Healthcare Materials,2,2,1,1,OpenAlex,exact_crossref_journal_match,Advanced Healthcare Materials,2192-2640; 2192-2659,Wiley (John Wiley & Sons),9767,,"Multimaterial and Multidimensional Bioprinting in Regenerative Medicine: Advances, Limitations, and Future Directions | Advances in 4D Bioprinting: The Next Frontier in Regenerative Medicine and Tissue Engineering Applications"
Architectural Intelligence,2,2,1,1,OpenAlex,exact_crossref_journal_match,Architectural Intelligence,2731-6726,Springer-Verlag,120,,Composite amalgam: development of joining approaches for additively manufactured fibre composites in complex geometry in architecture | Designing 3D-printed concrete structures with scaled fabrication models
Automation,2,2,1,1,OpenAlex,exact_crossref_journal_match,Automation,2673-4052,MDPI AG,297,,Enabling Intelligent Industrial Automation: A Review of Machine Learning Applications with Digital Twin and Edge AI Integration | From Virtual Trajectory Generation to Real Execution and Validation in a MATLAB-ROS Hybrid Framework for a 6 DOF Industrial Robot
Clean Technologies,2,2,1,1,OpenAlex,exact_crossref_journal_match,Clean Technologies,2571-8797,MDPI AG,542,,Hydrogen Economy and Climate Change: Additive Manufacturing in Perspective | Digital Twin-Driven Intelligent Transformation of Solid Waste Treatment
Composites Part C Open Access,2,2,1,1,OpenAlex,exact_crossref_journal_match,Composites Part C Open Access,2666-6820,Elsevier,737,,Combining hydromorphic and shape-shifting effects for programmable passive actuation in 4D-printed biocomposites | Current status and future outlook of 4D printing of polymers and composites-A prospective
EAI Endorsed Transactions on Digital Transformation of Industrial Processes,2,2,0,2,OpenAlex,exact_crossref_journal_match,EAI Endorsed Transactions on Digital Transformation of Industrial Processes,3106-0536,European Alliance for Innovation n.o.,49,,Integrating Industry 4.0 Technologies into Project Management: A Framework Proposal | Digital Product Passport for Machine Tools as an Information Core of Sustainable Manufacturing Engineering
Engineering Research,2,2,1,1,OpenAlex,exact_crossref_journal_match,Engineering Research,3091-3306,Springer-Verlag,13,,Vibroacoustic metamaterials in sheet metal structures for the reduction of sound radiation | Digital twins in engineering: a literature review and expert survey for potential analysis
Heritage,2,2,0,2,OpenAlex,exact_crossref_journal_match,Heritage,2571-9408,MDPI AG,2295,,Heritage 4.0: How Applied 3D Technologies and Digital Twins Are Redefining Cultural Preservation Beyond Replication | Bridging “Nature” and “Spirit”: The CRMhs Ontology for the Integration of Heritage Science and Cultural Heritage Data
Iconic Research and Engineering Journals,2,2,0,2,OpenAlex,exact_crossref_journal_match,Iconic Research and Engineering Journals,2456-8880,Iconic Digital Lab,3788,,A Review on Quality Control and Inspection Strategies in Aerospace Industry | 4D BIM-Based Master Scheduling for Giga-Projects: Improving Schedule Reliability and Stakeholder Alignment
International Journal of Advanced Research in Science Communication and Technology,2,2,1,1,OpenAlex,exact_crossref_journal_match,International Journal of Advanced Research in Science Communication and Technology,2581-9429,Naksh Solutions,11745,,"Additive Manufacturing (3D Printing) in Smart Factories | Smart Technologies for Smart Futures: A Study Across Business, Science and Society"
International Journal of Mechanical Engineering,2,2,0,2,OpenAlex,exact_crossref_journal_match,International Journal of Mechanical Engineering,2051-3232,Recent Science Publications,1,,Assessing the Impact of the Fourth Industrial Revolution on Sustainability and Manufacturing Performance: An Integrated Multi-Criteria Decision-Making Approach | A Driver-Based Framework for Integrating Industry 4.0 Practices with Additive Manufacturing
International Journal of Precision Engineering and Manufacturing,2,2,2,0,OpenAlex,exact_crossref_journal_match,International Journal of Precision Engineering and Manufacturing,1229-8557; 2005-4602; 2234-7593,Springer-Verlag,3801,,"A Comprehensive Review of Smart Coordinate Measuring Machines: Architectural Innovations, Multi-Sensor Integration, and Uncertainty Evaluation for Industry 4.0 | Exploring Challenges and Opportunities in Manufacturing and Intelligence for Future Robotics"
International Journal of Scientific Research in Computer Science Engineering and Information Technology,2,2,1,1,OpenAlex,exact_crossref_journal_match,International Journal of Scientific Research in Computer Science Engineering and Information Technology,2456-3307,Technoscience Academy,3681,,"Engineering Simulation Approaches for Improving Efficiency, Reliability, and Sustainability in Mechanical Systems | Smart Factory Evolution: Emerging IoT Manufacturing Trends with CPS and Robotic Automation"
International Journal of Simulation Modelling,2,2,0,2,OpenAlex,exact_crossref_journal_match,International Journal of Simulation Modelling,1726-4529,DAAAM International,889,,Continuous Validation of Digital Twins: Conceptual and Applied Approaches | Carbon–Efficiency Coupled Scheduling for New Energy Manufacturing Systems
Internet of Things,2,2,0,2,OpenAlex,exact_crossref_journal_match,Internet of Things,2542-6605,Elsevier,1815,,TWINE: ISO 23247-compliant digital twin and explainable AI framework for anomaly detection | Cyber-physical systems security: A comprehensive review of anomaly detection techniques
Inventions,2,2,2,0,OpenAlex,exact_crossref_journal_match,Inventions,2411-5134,MDPI AG,960,,"Integrating Additive Manufacturing into Dental Production: Innovations, Applications and Challenges | A Three-Dimensional Visualization System for Tea Production Lines Based on Digital Twins"
ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),2,2,2,0,OpenAlex,exact_crossref_journal_match,ITEGAM- Journal of Engineering and Technology for Industrial Applications (ITEGAM-JETIA),2447-0228,GN1 Sistemas e Publicacoes Ltd.,1216,,Digital Twin for Integration of Control and Diagnostics of Electromechanical Systems Under Uncertainty | Digital Twin Implementation Strategies for Complex Manufacturing Ecosystems: A Multi-Level Integration Framework
Journal of Emerging Technologies With Industrial Applications,2,2,1,1,OpenAlex,exact_crossref_journal_match,Journal of Emerging Technologies With Industrial Applications,3083-306X,Scilight Press Pty Ltd,5,,Part II: Industrial Information Integration Review 2020–2025 | Part I: Industrial Information Integration Review 2020–2025
Journal of Marine Science and Engineering,2,2,0,2,OpenAlex,exact_crossref_journal_match,Journal of Marine Science and Engineering,2077-1312,MDPI AG,13706,,"Framework for the Development of a Process Digital Twin in Shipbuilding: A Case Study in a Robotized Minor Pre-Assembly Workstation | Digitalisation of Shipyard Production Planning: A Review of Simulation, Optimisation, AI, and Digital Twin Methods (2010–2025)"
Journal of Physics Conference Series,2,2,1,1,OpenAlex,exact_crossref_journal_match,Journal of Physics Conference Series,1742-6588; 1742-6596,IOP Publishing,216174,,Design of a bio-inspired soft robotic gripper for millimeter-scale object grasping | Preface
Journal of Physics D Applied Physics,2,2,0,2,OpenAlex,exact_crossref_journal_match,Journal of Physics D Applied Physics,0022-3727; 1361-6463,IOP Publishing,35645,,"Numerical modelling of wire arc additive manufacturing: methods, status, trends, and opportunities | Mechanical metamaterial sensors: from design to applications"
Lab on a Chip,2,2,2,0,OpenAlex,exact_crossref_journal_match,Lab on a Chip,1473-0197; 1473-0189,The Royal Society of Chemistry,11530,,"3D printing of droplet microfluidic devices: principles, wetting control, scale-up, and beyond | Light-based 3D printing and post-treatments of moulds for PDMS soft lithography"
Light Advanced Manufacturing,2,2,2,0,OpenAlex,exact_crossref_journal_match,Light Advanced Manufacturing,2689-9620; 2689-9620,"Changchun Institute of Optics, Fine Mechanics and Physics, Chinese Academy of Sciences",41,,"Conformal metamaterial inspired contact lenses−designing, 3d printing and characterization for ocular applications | A multi-photon (7 × 7)-focus 3D laser printer based on a 3D-printed diffractive optical element and a 3D-printed multi-lens array"
Lubricants,2,2,1,1,OpenAlex,exact_crossref_journal_match,Lubricants,2075-4442,MDPI AG,2762,,"Tribological Performance Enhancement in FDM and SLA Additive Manufacturing: Materials, Mechanisms, Surface Engineering, and Hybrid Strategies—A Holistic Review | Artificial Intelligence in Lubricant Research—Advances in Monitoring and Predictive Maintenance"
Microchimica Acta,2,2,2,0,OpenAlex,exact_crossref_journal_match,Microchimica Acta,0026-3672; 1436-5073,Springer-Verlag,16759,,Tunable gold nanoparticle synthesis using microfluidic flow focusing enabled by reusable 3D-printed multimaterial connectors | Multi-material integrated 3D-printed electrochemical detection platform for rapid on-site screening of nimesulide in industrial sewage
Nanomaterials,2,2,2,0,OpenAlex,exact_crossref_journal_match,Nanomaterials,2079-4991,MDPI AG,22222,,"Graphene/CNT Nanocomposites: Processing, Properties, and Applications | Smart Polymers and Adaptive Systems in Pilot Suit Engineering: Toward Autonomous, Responsive, and Wearable Flight Technologies"
npj Biomedical Innovations.,2,2,1,1,OpenAlex,exact_crossref_journal_match,npj Biomedical Innovations,3005-1444,Springer Science and Business Media LLC,89,,3D biofabricated in vitro models as new approach methodologies for animal alternatives | The optimization of neuroprosthetic interfaces relying on biophysical and surrogate digital twins
npj Metamaterials,2,2,1,1,OpenAlex,exact_crossref_journal_match,npj Metamaterials,3059-3727,Springer Science and Business Media LLC,29,,Functional nano-architected mechanical metamaterials and devices | Statistical average strain energy density fatigue estimation of strut-based metamaterials via synthetic as-built CAD digital twins
Physics in Medicine and Biology,2,2,1,1,OpenAlex,exact_crossref_journal_match,Physics in Medicine and Biology,0031-9155; 1361-6560,IOP Publishing,18794,,A standardized workflow for the development and manufacturing of tissue-equivalent anthropomorphic phantoms for radiotherapy using 3D-printing | Evaluation of radiological properties and anisotropy with air channels analysis in 3D-printed flexible lung-mimicking materials for radiotherapy
PLoS ONE,2,2,0,2,OpenAlex,exact_crossref_journal_match,PLOS One,1932-6203,Public Library of Science,337383,,"Remanufacturing workshop management in blockchain and digital twin-based cloud remanufacturing service platform | Conceptual qualitative system dynamics model for simulation of perceived workload, stress and performance from industrial work content"
Production Engineering,2,2,0,2,OpenAlex,exact_crossref_journal_match,Production Engineering,0944-6524; 1863-7353,Springer-Verlag,1446,,Unifying data model of manufacturing processes for cross-domain collaboration in the Internet of Production | A structured framework for defining and prioritizing quality criteria for industrial digital twins
Reactive and Functional Polymers,2,2,2,0,OpenAlex,exact_crossref_journal_match,Reactive and Functional Polymers,1381-5148,Elsevier,5761,,Progressive transpose from 3D to 4D printed materials for drug delivery and biomedical applications | Radical inhibition in tomographic volumetric 3D printing for thiol-ene photoresists: From photorheology to printability
RSC Applied Polymers,2,2,2,0,OpenAlex,exact_crossref_journal_match,RSC Applied Polymers,2755-371X,The Royal Society of Chemistry,406,,Harnessing near-infrared light for advanced 3D printing | Advances in vat photopolymerization: early-career researchers shine light on a path forward
Smart Molecules,2,2,1,1,OpenAlex,exact_crossref_journal_match,Smart Molecules,2751-4587; 2751-4595,Wiley (John Wiley & Sons),186,,"Smart chiral liquid crystal elastomers: Design, properties and application | Incorporating crystalline smart materials to fabricate 4D printed photomechanical actuators with photovoltaic performance"
TECHNICAL SCIENCES AND TECHNOLOGIES,2,2,1,1,OpenAlex,exact_crossref_journal_match,TECHNICAL SCIENCES AND TECHNOLOGIES,2411-5363; 2519-4569,Chernihiv Polytechnic National University,1188,,Design of an educational stand with ABB IRB 120 for online and offline programming | Toolkit for creating digital twins of metal-cutting machine tools
Theoretical and Natural Science,2,2,1,1,OpenAlex,exact_crossref_journal_match,Theoretical and Natural Science,2753-8818; 2753-8826,EWA Publishing,5250,,An Elephant Trunk-Inspired Modular Variable Stiffness Soft Robot | Fluid Dynamics Advances in Turbojet Engines: From Fundamental Mechanisms to Engineering Applications
3D Printing in Medicine,1,1,1,0,OpenAlex,exact_crossref_journal_match,3D Printing in Medicine,2365-6271,Springer (Biomed Central Ltd.),319,,3D printed polymers that mimic the mechanical properties of atherosclerotic blood vessels for training models: the advantageous degradation induced by UV radiation and hydrolysis
593 Digital Publisher CEIT,1,1,0,1,OpenAlex,exact_crossref_journal_match,593 Digital Publisher CEIT,2588-0705,CEIT S.A.,2806,,Development of Innovative Capacity in Companies of the Metalworking Sector in the Province of Tungurahua
ACS electrochemistry.,1,1,0,1,OpenAlex,exact_crossref_journal_match,ACS Electrochemistry,2997-0571; 2997-0571,American Chemical Society,437,,High-Throughput Electrochemistry Using Scanning Electrochemical Cells
ACS Energy Letters,1,1,1,0,OpenAlex,exact_crossref_journal_match,ACS Energy Letters,2380-8195; 2380-8195,American Chemical Society,5626,,From High-Efficiency Devices to Reproducible Manufacturing: Self-driving Laboratories Are Reshaping Perovskite Photovoltaics
Acta Materialia,1,1,1,0,OpenAlex,exact_crossref_journal_match,Acta Materialia,1359-6454,Elsevier,20999,,"Defects caused by powder spattering and entrainment in laser powder bed fusion process: High-fidelity modeling of gas, melt pool and powder dynamics"
Acta Mechanica et Automatica,1,1,1,0,OpenAlex,exact_crossref_journal_match,Acta Mechanica et Automatica,1898-4088; 2300-5319,Bialystok University of Technology,675,,A Comprehensive Model of the Abb Irb 2400 For Simulation and Control Applications
Acta Mechanica Slovaca,1,1,1,0,OpenAlex,exact_crossref_journal_match,Acta Mechanica Slovaca,1335-2393; 1339-3073,"Technical university of Kosice, Faculty of Mechanical Engineering",598,,Alternative CAM Solution for Adaptive Robotic Additive Manufacturing
Actual problems of improving of current legislation of Ukraine,1,1,1,0,OpenAlex,exact_crossref_journal_match,Actual problems of improving of current legislation of Ukraine,2218-1849,Vasyl Stefanyk Precarpathian National University,58,,CONCEPT OF TECHNOLOGICAL SUPPORT FOR PARTS' RESTORATION USING DIGITAL TWINS AND REVERSE REENGINEERING
Advanced and Sustainable Technologies (ASET),1,1,0,1,OpenAlex,exact_crossref_journal_match,Advanced and Sustainable Technologies (ASET),2976-2294,Penerbit Universiti Malaysia Perlis,153,,A Digital Twin Framework for Corrosion Predictive Analysis
Advanced Engineering Letters,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Engineering Letters,2812-9709; 2812-9709,University Library in Kragujevac,102,,"Fused Deposition Modelling in Additive Manufacturing: A Comprehensive Review of Polymer-Based Processes, Properties, and Applications"
Advanced Manufacturing Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Manufacturing Research,2783-6738,JVE International Ltd.,14,,Enabling human-centric manufacturing: A systematic review of human-machine collaboration in Industry 5.0
Advanced Materials Interfaces,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Materials Interfaces,2196-7350; 2196-7350,Wiley (John Wiley & Sons),8407,,Fluctuating Curvature and Actuation in 4D Printed Asymmetric Networks by Frontal Photopolymerization
Advanced Materials Joining,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Materials Joining,3091-3721,Springer-Verlag,4,,"From printed architectures to functional batteries: printing technologies, post-processing, and sintering"
Advanced Optical Materials,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Optical Materials,2195-1071; 2195-1071,Wiley (John Wiley & Sons),10369,,Vat Photopolymerized HEMA/HEA Hydrogels for Solvent‐Responsive Transparency and Optical Encryption
Advanced Physics Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Physics Research,2751-1200; 2751-1200,Wiley (John Wiley & Sons),574,,"Sustainable Cellulose Ionogels With Promising Physical Structure, Properties, and Applications"
Advanced Sensor Research,1,1,1,0,OpenAlex,exact_crossref_journal_match,Advanced Sensor Research,2751-1219; 2751-1219,Wiley (John Wiley & Sons),629,,Performance‐Driven Design Strategies for Flexible Pressure Sensors: A Comparative Guide to Conventional Fabrication and Additive Manufacturing
Advances in Engineering Innovation,1,1,0,1,OpenAlex,exact_crossref_journal_match,Advances in Engineering Innovation,2977-3903; 2977-3911,EWA Publishing,448,,Simulation of 3D printing processes with G-code in Omniverse
Al-Khwarizmi Engineering Journal,1,1,1,0,OpenAlex,exact_crossref_journal_match,Al-Khwarizmi Engineering Journal,1818-1171; 2312-0789,Al-Khwarizmi Engineering Journal,375,,"Review of Current Trends, Materials and Challenges in 3D Printing for Biomedical Applications Using Polylactic Acid"
Algorithms,1,1,0,1,OpenAlex,exact_crossref_journal_match,Algorithms,1999-4893,MDPI AG,4691,,"A Review of AI-Driven Engineering Modelling and Optimization: Methodologies, Applications and Future Directions"
Annual Review of Materials Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Annual Review of Materials Research,1531-7331; 1545-4118; 0084-6600,Annual Reviews,1322,,Overcoming Roadblocks for Implementing AI/ML Methods for Materials Advancement
Applied Physics A,1,1,1,0,OpenAlex,exact_crossref_journal_match,Applied Physics A,0947-8396; 1432-0630,Springer-Verlag,24885,,"Metamaterials and their applications in engineering metamaterials: classification, applications - a comprehensive review"
Applied Physics Letters,1,1,0,1,OpenAlex,exact_crossref_journal_match,Applied Physics Letters,0003-6951; 1077-3118,American Institute of Physics,140290,,Liquid collector-assisted electrohydrodynamic printing of unrestricted-height architectures
Applied System Innovation,1,1,1,0,OpenAlex,exact_crossref_journal_match,Applied System Innovation,2571-5577,MDPI AG,939,,Review of Applications of Experimental Designs in Wafer Manufacturing
Architecture Structures and Construction,1,1,1,0,OpenAlex,exact_crossref_journal_match,Architecture Structures and Construction,2730-9886; 2730-9894,Springer-Verlag,199,,3D printing formwork for casting artificial habitats for Northern House Wren (Troglodytes aedon)
Archives of Civil and Mechanical Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Archives of Civil and Mechanical Engineering,1644-9665; 1644-9665,Springer-Verlag,1079,,Fabrication of mechanical metamaterials by 3D printing: recent advancements and current challenges
Archives of Computational Methods in Engineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Archives of Computational Methods in Engineering,1134-3060; 1886-1784,Springer-Verlag,1752,,"Agility, Innovation and Risk: A Systematic Literature Review on New Software Product Development and Organisational Capabilities"
Array,1,1,0,1,OpenAlex,exact_crossref_journal_match,Array,2590-0056,Elsevier,923,,"Digital Twin Models for Space Robotics: Objectives, Applications, and Challenges"
"Asian Health, Science and Technology Reports",1,1,0,1,OpenAlex,exact_crossref_journal_match,Asian Health Science and Technology Reports,3027-7167,Naresuan University,52,,Digital Twins in Dentistry: Technological Foundations and Clinical Applications
Asian Journal of Pharmaceutical Sciences,1,1,1,0,OpenAlex,exact_crossref_journal_match,Asian Journal of Pharmaceutical Sciences,1818-0876,Elsevier,984,,Vat-based photopolymerization 3D printing: From materials to topical and transdermal applications
Australian Journal of Multi-Disciplinary Engineering,1,1,1,0,OpenAlex,exact_crossref_journal_match,Australian Journal of Multi-Disciplinary Engineering,1448-8388; 2204-2180,Informa UK (Taylor & Francis),342,,Mechanics-informed AI laser 4D frameworks for adaptive materials processing and sustainable manufacturing: a quantitative review
Bilge International Journal of Science and Technology Research,1,1,0,1,OpenAlex,exact_crossref_journal_match,Bilge International Journal of Science and Technology Research,2587-0742,Bilge International Journal of Science and Technology Research,11,,Advancements and Emerging Trends in Mechanical Engineering Design and Manufacturing Processes: A Comprehensive Review
Bio-Design and Manufacturing,1,1,0,1,OpenAlex,exact_crossref_journal_match,Bio-Design and Manufacturing,2522-8544; 2522-8552; 2096-5524,Zhejiang University Press,410,,Light-based 3D printing of stimulus-responsive hydrogels for miniature devices: recent progress and perspective
Biomacromolecules,1,1,1,0,OpenAlex,exact_crossref_journal_match,Biomacromolecules,1525-7797; 1526-4602,American Chemical Society,11933,,Engineering and Exploring Hydrolytic Degradation in 3D-Printed Liquid Crystalline Elastomers
Biomaterials Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,Biomaterials Science,2047-4830; 2047-4849,The Royal Society of Chemistry,5805,,"4D hydrogels: fabrication strategies, stimulation mechanisms, and biomedical applications"
Biomedicines,1,1,1,0,OpenAlex,exact_crossref_journal_match,Biomedicines,2227-9059,MDPI AG,17010,,"Natural Polymers in Tissue Engineering and Regeneration: Material–Cell Mechanotransduction, Biofabrication Strategies, and Clinical Translation"
Biosensors,1,1,1,0,OpenAlex,exact_crossref_journal_match,Biosensors,0265-928X,Elsevier,142,,3D Printing Assisted Wearable and Implantable Biosensors
Biotechnology Advances,1,1,1,0,OpenAlex,exact_crossref_journal_match,Biotechnology Advances,0734-9750,Elsevier,17291,,Strategies to Enhance Stability of Cryopreservation Processes for Cell-Based Products
Brodogradnja,1,1,1,0,OpenAlex,exact_crossref_journal_match,Brodogradnja,0007-215X; 1845-5859,"Faculty of Mechanical Engineering and Naval Architecture, Univ. of Zagreb",393,,Digital twin of USV thruster based on CFD simulations and towing tank experiments
Bulletin of Shakarim University Technical Sciences,1,1,0,1,OpenAlex,exact_crossref_journal_match,Bulletin of Shakarim University Technical Sciences,2788-7995; 2788-7995; 3006-0524,Shakarim University,626,,APPLICATION OF DIGITAL TWINS IN AUTOMATION TEACHING LABORATORY
Bulletin of the National Engineering Academy of the Republic of Kazakhstan,1,1,0,1,OpenAlex,exact_crossref_journal_match,Bulletin of the National Engineering Academy of the Republic of Kazakhstan,2709-4693; 2709-4707,National Engineering Academy of the Republic of Kazakhstan,447,,Optimization of food production efficiency using adaptive digital modeling and digital twin technologies
Bulletin of the National Technical University KhPI Series Mathematical modeling in engineering and technologies,1,1,1,0,OpenAlex,exact_crossref_journal_match,"Bulletin of the National Technical University ""KhPI"" Series Mathematical modeling in engineering and technologies",2222-0631,National Technical University Kharkiv Polytechnic Institute,139,,COMPUTATIONAL ANALYSIS OF THE DEFORMATION BEHAVIOR OF 4D-PRINTED LIQUID CRYSTAL ELASTOMERS UNDER CHANGE OF TEMPERATURE
Bulletin of the National Technical University «KhPI» Series Engineering and CAD,1,1,1,0,OpenAlex,exact_crossref_journal_match,Bulletin of the National Technical University «KhPI» Series Engineering and CAD,2079-0775,National Technical University Kharkiv Polytechnic Institute,275,,TECHNICAL AND TECHNOLOGICAL JUSTIFICATION FOR THE APPLICATION OF MODULAR SCREWS IN MACHINES FOR HANDLING DISCRETE LOADS
Bussecon Review of Social Sciences (2687-2285),1,1,0,1,OpenAlex,exact_crossref_journal_match,Bussecon Review of Social Sciences (2687-2285),2687-2285,Bussecon International Academy,97,,"Aviation 4.0: the impacts of digital transformation on the aviation industry: evidence from maintenance, repair and overhaul operations"
ce/papers,1,1,1,0,OpenAlex,exact_crossref_journal_match,ce/papers,2509-7075; 2509-7075,Wiley (John Wiley & Sons),3564,,A New Generation of Lattice Structural Elements Produced with Wire‐Arc Additive Manufacturing
Cellular and Molecular Bioengineering,1,1,0,1,OpenAlex,exact_crossref_journal_match,Cellular and Molecular Bioengineering,1865-5025; 1865-5033,Springer-Verlag,910,,The Tumor Microenvironment: Translating Intravital Insights into Microphysiological Systems
Center of Artificial Intelligence,1,1,0,1,OpenAlex,exact_crossref_journal_match,Center of Artificial Intelligence,3107-264X,Center of Science,8,,"Cybersecurity in Autonomous AI Robotics: A Review of Emerging Threats, Adversarial Attacks, and Mitigation Techniques"
Ceramics,1,1,1,0,OpenAlex,exact_crossref_journal_match,Ceramics,2571-6131,MDPI AG,747,,"Additive Manufacturing of Ceramics and Ceramic-Based Composites: Processing, Properties, and Engineering Applications"
Challenging glass conference proceedings,1,1,0,1,OpenAlex,exact_crossref_journal_match,Challenging Glass Conference Proceedings,2589-8019,Stichting OpenAccess Foundation,170,,An AAS-Based Digital Twin Framework for Load-Bearing Glass Structures under Seismic Testing
Chemical and Process Engineering New Frontiers,1,1,1,0,OpenAlex,exact_crossref_journal_match,Chemical and Process Engineering New Frontiers,0208-6425; 0208-6425; 2300-1925,Polish Academy of Sciences Chancellery,567,,Chemical engineering aspects in the design and construction of a new type of multimaterial 3D printer using photopolymerization and electrodeposition processes
Chemistry of Materials,1,1,0,1,OpenAlex,exact_crossref_journal_match,Chemistry of Materials,0897-4756; 1520-5002,American Chemical Society,28157,,Soft Actuators Based on Stimuli-Responsive Materials: From Material Design to Robotic Systems
ChemPhotoChem,1,1,1,0,OpenAlex,exact_crossref_journal_match,ChemPhotoChem,2367-0932; 2367-0932,Wiley (John Wiley & Sons),1734,,Novel Photoinitiators for Two‐Step Absorption‐Based 3D Laser Nanoprinting: From Molecular Design to Printing Behavior
Circular Economy and Sustainability,1,1,0,1,OpenAlex,exact_crossref_journal_match,Circular Economy and Sustainability,2730-597X; 2730-5988,Springer-Verlag,994,,Harnessing Industry 4.0: Sustainable Manufacturing and Circular Economy Practices in Indian Small and Medium Enterprises (SMEs)
City and Built Environment,1,1,1,0,OpenAlex,exact_crossref_journal_match,City and Built Environment,2435-7936,Springer-Verlag,74,,"Multiscale thermal optimization of 3D-printed walls: integrating structure, material, and process with fire-thermal synergy"
Clinical and Experimental Medicine,1,1,0,1,OpenAlex,exact_crossref_journal_match,Clinical and Experimental Medicine,1591-8890; 1591-9528,Springer-Verlag,4355,,Artificial intelligence in immunotherapy: revolutionizing diagnostic and therapeutic applications in cancer and autoimmune diseases
Cluster Computing,1,1,0,1,OpenAlex,exact_crossref_journal_match,Cluster Computing,1386-7857; 1573-7543,Springer-Verlag,6039,,Defense-Aware Temporal Graph Neural Network for fault-tolerant intrusion detection in IIoT–5G environments
Coatings,1,1,1,0,OpenAlex,exact_crossref_journal_match,Coatings,2079-6412,MDPI AG,12540,,Functionally Graded Nickel-Based Coatings: A Comprehensive Review
Cognitive Computation,1,1,0,1,OpenAlex,exact_crossref_journal_match,Cognitive Computation,1866-9956; 1866-9964,Springer-Verlag,1582,,A Brain-Inspired Model for Efficient Graph Learning in Human Cyber Physical Networks
Communications on Applied Nonlinear Analysis,1,1,1,0,OpenAlex,exact_crossref_journal_match,Communications on Applied Nonlinear Analysis,,Science Research Society,0,,Mechanical Performance of FDM Printed Thermoplastics: Influence of Process Parameters and Hybrid Carbon Fiber Reinforcement
Crystals,1,1,1,0,OpenAlex,exact_crossref_journal_match,Crystals,2073-4352,MDPI AG,10820,,The Role of Liquid Crystal Elastomers in Pioneering Biological Applications
Cureus,1,1,0,1,OpenAlex,exact_crossref_journal_match,Cureus,2168-8184,"Cureus, Inc.",111670,,Exploring the Horizons of Four-Dimensional Printing Technology in Dentistry
Current Research in Food Science,1,1,1,0,OpenAlex,exact_crossref_journal_match,Current Research in Food Science,2665-9271,Elsevier,1474,,A smart thermoresponsive macroporous 4D structure by 4D printing of Pickering-high internal phase emulsions stabilized by plasma-functionalized starch nanomaterials for a possible delivery system
Cybersecurity,1,1,0,1,OpenAlex,exact_crossref_journal_match,Cybersecurity,2523-3246,Springer (Biomed Central Ltd.),560,,Bridg-ics: AI-grounded knowledge graphs for intelligent threat analytics in industry 5.0 cyber-physical systems
Dentistry Journal,1,1,1,0,OpenAlex,exact_crossref_journal_match,Dentistry Journal,2304-6767,MDPI AG,2530,,"Transforming Dental Care, Practice and Education with Additive Manufacturing and 3D Printing: Innovations in Materials, Technologies, and Future Pathways"
Digital engineering.,1,1,0,1,OpenAlex,exact_crossref_journal_match,Digital Engineering,2950-550X,Elsevier,126,,Digital Engineering and Digital Twins for Smart Manufacturing
Digital twins and applications.,1,1,1,0,OpenAlex,exact_crossref_journal_match,Digital Twins and Applications,2995-5629; 2995-2182,Institution of Engineering and Technology (IET),59,,The Role of Digital Twin for Space and Remote Terrestrial Construction
Discover Artificial Intelligence,1,1,1,0,OpenAlex,exact_crossref_journal_match,Discover Artificial Intelligence,2731-0809,Springer-Verlag,1454,,5D orthodontics: integration of multidimensional imaging and predictive technologies—a scoping review
Discover Cities,1,1,1,0,OpenAlex,exact_crossref_journal_match,Discover Cities,3004-8311,Springer-Verlag,284,,Urban circularity digital twin to support decision-making for sustainable mobility
