venue,record_count,unique_paper_keys,curated_records,archive_records,source_union_in_dataset,openalex_lookup_status,openalex_match_display_name,openalex_match_id,openalex_match_issn_l,openalex_match_issn,openalex_match_host_organization,openalex_works_count,openalex_lookup_similarity,openalex_lookup_note
5D Printing,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
9th European Congress on Computational Methods in Applied Sciences and Engineering,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
A Hardware‐in‐Loop Digital Twin Approach for Intelligent Optimization of Municipal Solid Waste Incineration,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Academica Global: Journal of Computer Science and Technology Studies,1,1,0,1,Crossref,exact_openalex_source_match,Academica Global Journal of Computer Science and Technology Studies,https://openalex.org/S5407055635,2978-8706,2978-8706,,16,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACM Symposium on Computational Fabrication,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
ACM Transactions on Cyber-Physical Systems,1,1,0,1,Crossref,exact_openalex_source_match,ACM Transactions on Cyber-Physical Systems,https://openalex.org/S2506189754,2378-962X,2378-962X; 2378-9638,Association for Computing Machinery,428,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACM Transactions on Graphics,1,1,1,0,Crossref,exact_openalex_source_match,ACM Transactions on Graphics,https://openalex.org/S185367456,0730-0301,0730-0301; 1557-7368,Association for Computing Machinery,6482,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACM Transactions on Human-Robot Interaction,1,1,0,1,Crossref,exact_openalex_source_match,ACM Transactions on Human-Robot Interaction,https://openalex.org/S4210193251,2573-9522,2573-9522,Association for Computing Machinery,459,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACS Applied Bio Materials,1,1,0,1,Crossref,exact_openalex_source_match,ACS Applied Bio Materials,https://openalex.org/S4210214000,2576-6422,2576-6422,American Chemical Society,5736,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACS Applied Engineering Materials,1,1,0,1,Crossref,exact_openalex_source_match,ACS Applied Engineering Materials,https://openalex.org/S4387282792,2771-9545,2771-9545,American Chemical Society,1329,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACS Nano,1,1,0,1,Crossref,exact_openalex_source_match,ACS Nano,https://openalex.org/S145476921,1936-0851,1936-0851; 1936-086X,American Chemical Society,28955,1.000,normalized venue title exactly matched an OpenAlex source display_name
ACS Photonics,1,1,1,0,Crossref,exact_openalex_source_match,ACS Photonics,https://openalex.org/S135184319,2330-4022,2330-4022,American Chemical Society,6040,1.000,normalized venue title exactly matched an OpenAlex source display_name
Acta Astronautica,1,1,0,1,Crossref,exact_openalex_source_match,Acta Astronautica,https://openalex.org/S179591353,0094-5765,0094-5765; 1879-2030,Elsevier BV,15066,1.000,normalized venue title exactly matched an OpenAlex source display_name
Acta Simulatio,1,1,0,1,Crossref,exact_openalex_source_match,Acta Simulatio,https://openalex.org/S4210233998,1339-9640,1339-9640,"4S go, s.r.o.",78,1.000,normalized venue title exactly matched an OpenAlex source display_name
Additive Manufacturing for Advance Applications,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Additive Manufacturing of Magnetic Materials,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Additive Manufacturing of Smart Multifunctional Materials and Structures,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Additive Manufacturing Solutions for Advanced Veterinary Practice,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Additively Manufactured Smart Materials and Structures,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Advanced Logistic Systems - Theory and Practice,1,1,0,1,Crossref,exact_openalex_source_match,Advanced Logistic Systems - Theory and Practice,https://openalex.org/S4210224893,1789-2198,1789-2198,,174,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advanced Powder Materials,1,1,1,0,Crossref,exact_openalex_source_match,Advanced Powder Materials,https://openalex.org/S4210231862,2772-834X,2772-834X,Elsevier BV,267,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advanced Structured Materials,1,1,0,1,Crossref,exact_openalex_source_match,Advanced structured materials,https://openalex.org/S4210187541,1869-8433,1869-8433; 1869-8441,Springer International Publishing,4532,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advanced Technologies for Sustainable Biomedical Applications,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Advances in Chemical and Materials Engineering,1,1,0,1,Crossref,possible_openalex_source_match,Advances in chemical and materials engineering book series,https://openalex.org/S4210189138,2327-5448,2327-5448; 2327-5456,IGI Global,1590,0.885,best title similarity 0.88; inspect manually
Advances in Colloid and Interface Science,1,1,1,0,Crossref,exact_openalex_source_match,Advances in Colloid and Interface Science,https://openalex.org/S28247071,0001-8686,0001-8686; 1873-3727,Elsevier BV,4234,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advances in Industrial and Manufacturing Engineering,1,1,0,1,Crossref,exact_openalex_source_match,Advances in Industrial and Manufacturing Engineering,https://openalex.org/S4210227429,2666-9129,2666-9129,Elsevier BV,161,1.000,normalized venue title exactly matched an OpenAlex source display_name
Advances in Materials Technology for Power Plants,1,1,0,1,Crossref,possible_openalex_source_match,Advances in materials technology for fossil power plants :,https://openalex.org/S4404670259,2994-4023,2994-4023; 2994-4031,ASM International,765,0.933,best title similarity 0.93; inspect manually
AHFE International,1,1,1,0,Crossref,exact_openalex_source_match,AHFE international,https://openalex.org/S4220651959,2771-0718,2771-0718,,7264,1.000,normalized venue title exactly matched an OpenAlex source display_name
"AI, Computer Science and Robotics Technology",1,1,1,0,Crossref,exact_openalex_source_match,AI Computer Science and Robotics Technology,https://openalex.org/S4387279549,2754-6292,2754-6292,IntechOpen,84,1.000,normalized venue title exactly matched an OpenAlex source display_name
AIAA SCITECH 2026 Forum,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
An International Journal of Optimization and Control: Theories & Applications (IJOCTA),1,1,0,1,Crossref,exact_openalex_source_match,An International Journal of Optimization and Control Theories & Applications (IJOCTA),https://openalex.org/S2738277457,2146-0957,2146-0957; 2146-5703,Balıkesir University,432,1.000,normalized venue title exactly matched an OpenAlex source display_name
Applied Acoustics,1,1,0,1,Crossref,exact_openalex_source_match,Applied Acoustics,https://openalex.org/S971171794,0003-682X,0003-682X; 1872-910X,Elsevier BV,10104,1.000,normalized venue title exactly matched an OpenAlex source display_name
Applied Energy,1,1,0,1,Crossref,exact_openalex_source_match,Applied Energy,https://openalex.org/S109565702,0306-2619,0306-2619; 1872-9118,Elsevier BV,28031,1.000,normalized venue title exactly matched an OpenAlex source display_name
Architected Structures,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Archives of Materials Science and Engineering,1,1,0,1,Crossref,exact_openalex_source_match,Archives of Materials Science and Engineering,https://openalex.org/S2764757272,1897-2764,1897-2764; 2300-8679,Index Copernicus International S.A.,1186,1.000,normalized venue title exactly matched an OpenAlex source display_name
Archives of Metallurgy and Materials,1,1,1,0,Crossref,exact_openalex_source_match,Archives of Metallurgy and Materials,https://openalex.org/S20440071,1733-3490,1733-3490; 2300-1909,De Gruyter Open,4574,1.000,normalized venue title exactly matched an OpenAlex source display_name
Artificial Intelligence based Solutions for Industrial Applications,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Artificial Intelligence‐Enabled Blockchain Technology and Digital Twin for Smart Hospitals,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"ASME 2025 Aerospace Structures, Structural Dynamics, and Materials Conference",1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"ASME 2025 Conference on Smart Materials, Adaptive Structures and Intelligent Systems",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
ASME Open Journal of Engineering,1,1,1,0,Crossref,exact_openalex_source_match,ASME Open Journal of Engineering,https://openalex.org/S4220650986,2770-3495,2770-3495,ASM International,221,1.000,normalized venue title exactly matched an OpenAlex source display_name
"Atomic and Near-atomic Scale Additive Manufacturing Processes: Progress, Challenges, and Circular Economy",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
ATZ worldwide,1,1,0,1,Crossref,exact_openalex_source_match,ATZ worldwide,https://openalex.org/S2764576111,2192-9076,2192-9076,Springer Science+Business Media,3249,1.000,normalized venue title exactly matched an OpenAlex source display_name
Australasian Orthodontic Journal,1,1,0,1,Crossref,exact_openalex_source_match,Australasian Orthodontic Journal,https://openalex.org/S4210177234,2207-7472,2207-7472; 2207-7480,Exeley Inc,1291,1.000,normalized venue title exactly matched an OpenAlex source display_name
Automation Modern Techologies,1,1,1,0,Crossref,exact_openalex_source_match,Automation Modern Techologies,https://openalex.org/S4210228617,0869-4931,0869-4931,,531,1.000,normalized venue title exactly matched an OpenAlex source display_name
Autonomous Intelligent Systems,1,1,0,1,Crossref,exact_openalex_source_match,Autonomous Intelligent Systems,https://openalex.org/S4210227358,2730-616X,2730-616X,Springer Nature,129,1.000,normalized venue title exactly matched an OpenAlex source display_name
Biomedical Materials for Multi-functional Applications,1,1,0,1,Crossref,exact_openalex_source_match,Biomedical materials for multi-functional applications,https://openalex.org/S4393919392,2731-9695,2731-9695; 2731-9709,,189,1.000,normalized venue title exactly matched an OpenAlex source display_name
Blockchain and Digital Twins for Smart Hospital Infrastructures,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Blucher Design Proceedings,1,1,0,1,Crossref,exact_openalex_source_match,Blucher Design Proceedings,https://openalex.org/S4386872181,2318-6968,2318-6968,,121,1.000,normalized venue title exactly matched an OpenAlex source display_name
Bulletin of the Polytechnic Institute of Iași. Machine constructions Section,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
CAD'25,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Canadian Metallurgical Quarterly,1,1,0,1,Crossref,exact_openalex_source_match,Canadian Metallurgical Quarterly,https://openalex.org/S171358856,0008-4433,0008-4433; 1879-1395,Taylor & Francis,6158,1.000,normalized venue title exactly matched an OpenAlex source display_name
Cement and Concrete Composites,1,1,0,1,Crossref,exact_openalex_source_match,Cement and Concrete Composites,https://openalex.org/S123887920,0958-9465,0958-9465; 1873-393X,Elsevier BV,6451,1.000,normalized venue title exactly matched an OpenAlex source display_name
Chem,1,1,0,1,Crossref,exact_openalex_source_match,Chem,https://openalex.org/S2898106599,2451-9294,2451-9294; 2451-9308,Elsevier BV,2823,1.000,normalized venue title exactly matched an OpenAlex source display_name
Chemical Communications,1,1,1,0,Crossref,exact_openalex_source_match,Chemical Communications,https://openalex.org/S152760256,1359-7345,1359-7345; 1364-548X,Royal Society of Chemistry,77751,1.000,normalized venue title exactly matched an OpenAlex source display_name
Chemical Science,1,1,1,0,Crossref,exact_openalex_source_match,Chemical Science,https://openalex.org/S184645833,2041-6520,2041-6520; 2041-6539,Royal Society of Chemistry,20832,1.000,normalized venue title exactly matched an OpenAlex source display_name
Chinese Science Bulletin,1,1,1,0,Crossref,exact_openalex_source_match,Chinese Science Bulletin,https://openalex.org/S4210205735,1001-6538,1001-6538; 1861-9541,Springer Nature,10484,1.000,normalized venue title exactly matched an OpenAlex source display_name
Cognizance Journal of Multidisciplinary Studies,1,1,0,1,Crossref,exact_openalex_source_match,Cognizance Journal of Multidisciplinary Studies,https://openalex.org/S4210212843,0976-7797,0976-7797,,1413,1.000,normalized venue title exactly matched an OpenAlex source display_name
Communications in Computer and Information Science,1,1,0,1,Crossref,exact_openalex_source_match,Communications in computer and information science,https://openalex.org/S2764900261,1865-0929,1865-0929; 1865-0937,Springer Science+Business Media,93815,1.000,normalized venue title exactly matched an OpenAlex source display_name
Composites Science and Technology,1,1,0,1,Crossref,exact_openalex_source_match,Composites Science and Technology,https://openalex.org/S52442148,0266-3538,0266-3538; 1879-1050,Elsevier BV,12285,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computational Materials Science,1,1,1,0,Crossref,exact_openalex_source_match,Computational Materials Science,https://openalex.org/S26018076,0927-0256,0927-0256; 1879-0801,Elsevier BV,14229,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computational Techniques for Smart Manufacturing in Industry 5.0,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Computer-Aided Design and Applications,1,1,0,1,Crossref,exact_openalex_source_match,Computer-Aided Design and Applications,https://openalex.org/S143715161,1686-4360,1686-4360,Taylor & Francis,3128,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computers & Industrial Engineering,1,1,0,1,Crossref,exact_openalex_source_match,Computers & Industrial Engineering,https://openalex.org/S196821226,0360-8352,0360-8352; 1879-0550,Elsevier BV,13368,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computers & Security,1,1,0,1,Crossref,exact_openalex_source_match,Computers & Security,https://openalex.org/S12529635,0167-4048,0167-4048; 1872-6208,Elsevier BV,9778,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computers & Structures,1,1,0,1,Crossref,exact_openalex_source_match,Computers & Structures,https://openalex.org/S111482492,0045-7949,0045-7949; 1879-2243,Elsevier BV,13254,1.000,normalized venue title exactly matched an OpenAlex source display_name
Computers in Industry,1,1,1,0,Crossref,exact_openalex_source_match,Computers in Industry,https://openalex.org/S60779006,0166-3615,0166-3615; 1872-6194,Elsevier BV,4713,1.000,normalized venue title exactly matched an OpenAlex source display_name
Construction Research Congress 2024,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Construction Robotics,1,1,0,1,Crossref,exact_openalex_source_match,Construction Robotics,https://openalex.org/S4210233847,2509-811X,2509-811X; 2509-8780,Springer Science+Business Media,186,1.000,normalized venue title exactly matched an OpenAlex source display_name
Creating Smart and Safe Manufacturing Environments,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Crystal Growth & Design,1,1,0,1,Crossref,exact_openalex_source_match,Crystal Growth & Design,https://openalex.org/S16561315,1528-7483,1528-7483; 1528-7505,American Chemical Society,17406,1.000,normalized venue title exactly matched an OpenAlex source display_name
Cyborg and Bionic Systems,1,1,1,0,Crossref,exact_openalex_source_match,Cyborg and Bionic Systems,https://openalex.org/S4210209220,2097-1087,2097-1087; 2692-7632,American Association for the Advancement of Science,292,1.000,normalized venue title exactly matched an OpenAlex source display_name
Data Analytics and Artificial Intelligence for Predictive Maintenance in Smart Manufacturing,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Desalination,1,1,0,1,Crossref,exact_openalex_source_match,Desalination,https://openalex.org/S86512602,0011-9164,0011-9164; 1873-4464,Elsevier BV,20927,1.000,normalized venue title exactly matched an OpenAlex source display_name
Digital Manufacturing in Industry 5.0,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Product Design and Manufacturing,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Science,1,1,0,1,Crossref,no_openalex_source_match,Journal of Digital Science,https://openalex.org/S4210211912,2686-8296,2686-8296,,96,0.732,no close OpenAlex source display_name found in top 5 search results
Digital Twin Adoption and BIM-GIS Implementation,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twin Technology and Applications,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twin Technology in Manufacturing: Tools for Real-Time Process Optimization,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Digital Twin, Blockchain, and Sensor Networks in the Healthy and Mobile City",1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twin-Driven Lifelong Learning Systems,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Digital Twins,1,1,0,1,Crossref,no_openalex_source_match,Digital twins and applications.,https://openalex.org/S4404664149,2995-2182,2995-2182; 2995-5629,,59,0.605,no close OpenAlex source display_name found in top 5 search results
Digital Twins and Applications,1,1,0,1,Crossref,exact_openalex_source_match,Digital twins and applications.,https://openalex.org/S4404664149,2995-2182,2995-2182; 2995-5629,,59,1.000,normalized venue title exactly matched an OpenAlex source display_name
"Digital Twins, AI, and NDE for Industry Applications and Energy Systems 2025",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
DTCO and Computational Patterning V,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
DYNA,1,1,1,0,Crossref,exact_openalex_source_match,DYNA,https://openalex.org/S194672249,0012-7353,0012-7353; 2346-2183,National University of Colombia,1680,1.000,normalized venue title exactly matched an OpenAlex source display_name
Emerging Digital Micromirror Device-based Systems and Applications XVIII,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Energy Conversion and Management,1,1,0,1,Crossref,exact_openalex_source_match,Energy Conversion and Management,https://openalex.org/S105637730,0196-8904,0196-8904; 1879-2227,Elsevier BV,22253,1.000,normalized venue title exactly matched an OpenAlex source display_name
Engineering Computations,1,1,0,1,Crossref,exact_openalex_source_match,Engineering Computations,https://openalex.org/S607880,0264-4401,0264-4401; 1758-7077,Emerald Publishing Limited,3171,1.000,normalized venue title exactly matched an OpenAlex source display_name
Engineering Cyber-Physical Systems and Critical Infrastructures,1,1,0,1,Crossref,exact_openalex_source_match,Engineering cyber-physical systems and critical infrastructures,https://openalex.org/S4393919290,2731-5002,2731-5002; 2731-5010,,494,1.000,normalized venue title exactly matched an OpenAlex source display_name
Engineering Drawing and Product Manufacturing Information with 3D Models,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Engineering Optimization,1,1,0,1,Crossref,exact_openalex_source_match,Engineering Optimization,https://openalex.org/S139857051,0305-215X,0305-215X; 1026-745X; 1029-0273,Taylor & Francis,3136,1.000,normalized venue title exactly matched an OpenAlex source display_name
Entropy,1,1,0,1,Crossref,exact_openalex_source_match,Entropy,https://openalex.org/S195231649,1099-4300,1099-4300,Multidisciplinary Digital Publishing Institute,14899,1.000,normalized venue title exactly matched an OpenAlex source display_name
EPJ Web of Conferences,1,1,1,0,Crossref,exact_openalex_source_match,EPJ Web of Conferences,https://openalex.org/S19068271,2100-014X,2100-014X; 2101-6275,EDP Sciences,27001,1.000,normalized venue title exactly matched an OpenAlex source display_name
Equilibrium. Quarterly Journal of Economics and Economic Policy,1,1,0,1,Crossref,exact_openalex_source_match,Equilibrium Quarterly Journal of Economics and Economic Policy,https://openalex.org/S2738413198,1689-765X,1689-765X; 2353-3293,"Institute of Economic Research, Polish Economic Society Branch in Toruń, Faculty of Economic Sciences and Management at Nicolaus",643,1.000,normalized venue title exactly matched an OpenAlex source display_name
Euro PM2025 Proceedings,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Evolutions in Mechanical Engineering,1,1,0,1,Crossref,exact_openalex_source_match,Evolutions in Mechanical Engineering,https://openalex.org/S4210220979,2640-9690,2640-9690,,207,1.000,normalized venue title exactly matched an OpenAlex source display_name
Exploring the Metaverse,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Flexible and Printed Electronics,1,1,1,0,Crossref,exact_openalex_source_match,Flexible and Printed Electronics,https://openalex.org/S4210231766,2058-8585,2058-8585,IOP Publishing,687,1.000,normalized venue title exactly matched an OpenAlex source display_name
Food Bioscience,1,1,0,1,Crossref,exact_openalex_source_match,Food Bioscience,https://openalex.org/S2764726840,2212-4292,2212-4292; 2212-4306,Elsevier BV,9054,1.000,normalized venue title exactly matched an OpenAlex source display_name
Food Hydrocolloids,1,1,0,1,Crossref,exact_openalex_source_match,Food Hydrocolloids,https://openalex.org/S168584722,0268-005X,0268-005X; 1873-7137,Elsevier BV,14170,1.000,normalized venue title exactly matched an OpenAlex source display_name
Foundations of Digital Twins,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Fourth International Conference on Electronic Information Engineering and Data Processing (EIEDP 2025),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Frontiers in Interdisciplinary Applied Science,1,1,1,0,Crossref,exact_openalex_source_match,Frontiers in Interdisciplinary Applied Science,https://openalex.org/S5407043490,3008-1394,3008-1394; 3008-1408,,39,1.000,normalized venue title exactly matched an OpenAlex source display_name
Frontiers in Nuclear Engineering,1,1,0,1,Crossref,exact_openalex_source_match,Frontiers in Nuclear Engineering,https://openalex.org/S4387282505,2813-3412,2813-3412,Frontiers Media,199,1.000,normalized venue title exactly matched an OpenAlex source display_name
Future Fat Alternatives,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Future Foods,1,1,0,1,Crossref,exact_openalex_source_match,Future Foods,https://openalex.org/S4210190877,2666-8335,2666-8335,Elsevier BV,1139,1.000,normalized venue title exactly matched an OpenAlex source display_name
Giant,1,1,0,1,Crossref,exact_openalex_source_match,Giant,https://openalex.org/S4210199024,2666-5425,2666-5425,Elsevier BV,392,1.000,normalized venue title exactly matched an OpenAlex source display_name
Global vision research,1,1,0,1,Crossref,exact_openalex_source_match,Global vision research,https://openalex.org/S5407053091,3041-0797,3041-0797; 3041-0843,,508,1.000,normalized venue title exactly matched an OpenAlex source display_name
Green Chemistry,1,1,1,0,Crossref,exact_openalex_source_match,Green Chemistry,https://openalex.org/S55009144,1463-9262,1463-9262; 1463-9270,Royal Society of Chemistry,15649,1.000,normalized venue title exactly matched an OpenAlex source display_name
Green Manufacturing Open,1,1,1,0,Crossref,exact_openalex_source_match,Green Manufacturing Open,https://openalex.org/S4387278664,2835-7590,2835-7590,,37,1.000,normalized venue title exactly matched an OpenAlex source display_name
Handbook of Digital Twins,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Hardware,1,1,1,0,Crossref,no_openalex_source_match,Virtual Reality & Intelligent Hardware,https://openalex.org/S4210224695,2096-5796,2096-5796; 2666-1209,Elsevier BV,280,0.333,no close OpenAlex source display_name found in top 5 search results
Hittite Journal of Science and Engineering,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
IAF Microgravity Sciences and Processes Symposium,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
IAF Space Power Symposium,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
IEEE ICCBE 2025,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
IEEE Latin America Transactions,1,1,0,1,Crossref,exact_openalex_source_match,IEEE Latin America Transactions,https://openalex.org/S86124554,1548-0992,1548-0992,Institute of Electrical and Electronics Engineers,5008,1.000,normalized venue title exactly matched an OpenAlex source display_name
IEEE Transactions on Industrial Informatics,1,1,0,1,Crossref,exact_openalex_source_match,IEEE Transactions on Industrial Informatics,https://openalex.org/S184777250,1551-3203,1551-3203; 1941-0050,Institute of Electrical and Electronics Engineers,10185,1.000,normalized venue title exactly matched an OpenAlex source display_name
IISE Transactions,1,1,0,1,Crossref,exact_openalex_source_match,IISE Transactions,https://openalex.org/S4210225672,2472-5854,2472-5854; 2472-5862,Taylor & Francis,928,1.000,normalized venue title exactly matched an OpenAlex source display_name
IJAMM,1,1,1,0,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Incertitudes et fiabilité des systèmes multiphysiques,1,1,0,1,Crossref,exact_openalex_source_match,Incertitudes et fiabilité des systèmes multiphysiques,https://openalex.org/S4210240417,2514-569X,2514-569X,,106,1.000,normalized venue title exactly matched an OpenAlex source display_name
Industrial Robotics in Smart Manufacturing,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Industry 4.0 for Manufacturing Systems,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Innovations in Advanced Materials and Manufacturing,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Innovative Produktentwicklung durch additive Fertigung,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
"Intelligent Industry Ecosystems and Manufacturing Renaissance: Designing Autonomous Production, Supply Orchestration, and Connected Retail Infrastructure",1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Intelligent Machinery Fault Diagnostics and Prognostics,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
Intelligent Security Solutions for Cyber-Physical Systems,1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
International Academic Journal of Science and Engineering,1,1,0,1,Crossref,exact_openalex_source_match,International Academic Journal of Science and Engineering,https://openalex.org/S4210225820,2454-3896,2454-3896,,445,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Conference on Computer Application and Information Security (ICCAIS 2025),1,1,0,1,Crossref,no_openalex_source_match,,,,,,,,no close OpenAlex source display_name found in top 5 search results
International Journal of Adhesion and Adhesives,1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Adhesion and Adhesives,https://openalex.org/S86637577,0143-7496,0143-7496; 1879-0127,Elsevier BV,5543,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Applied Ceramic Technology,1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Applied Ceramic Technology,https://openalex.org/S75568645,1546-542X,1546-542X; 1744-7402,Wiley,4480,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Artificial Intelligence Engineering and Transformation,1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Artificial Intelligence Engineering and Transformation,https://openalex.org/S5407051489,3051-3383,3051-3383; 3051-3391,,45,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Clothing Science and Technology,1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Clothing Science and Technology,https://openalex.org/S36303399,0955-6222,0955-6222; 1758-5953,Emerald Publishing Limited,1555,1.000,normalized venue title exactly matched an OpenAlex source display_name
"International Journal of Control, Automation and Systems",1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Control Automation and Systems,https://openalex.org/S4398839,1598-6446,1598-6446; 2005-4092,Springer Science+Business Media,4598,1.000,normalized venue title exactly matched an OpenAlex source display_name
International Journal of Emerging Research in Engineering and Technology,1,1,0,1,Crossref,exact_openalex_source_match,International Journal of Emerging Research in Engineering and Technology,https://openalex.org/S5407047513,3050-922X,3050-922X,,468,1.000,normalized venue title exactly matched an OpenAlex source display_name
